45.3486	40.5023	12.83	5.2	2021-02-05T15:36:11.039
171.7044	-22.7648	10	5.3	2021-02-05T15:41:34.260
124.4494	-0.2129	61.74	5.2	2021-02-05T20:34:46.811
-175.5969	-23.2856	10	5.2	2021-02-06T04:40:31.385
122.6275	24.696	110.16	5.4	2021-02-06T17:36:02.624
-177.4436	-20.7536	369.42	5	2021-02-07T01:56:52.378
171.9752	-22.8492	10	5	2021-02-07T02:58:20.594
-136.0982	-54.5512	10	5	2021-02-07T04:04:40.622
125.1011	6.7693	16	6	2021-02-07T04:22:56.667
146.1444	-3.3226	10	6.3	2021-02-07T05:45:51.377
127.1064	5.688	35.23	5.7	2021-02-08T00:00:40.819
-179.7398	-34.3627	37.09	5	2021-02-08T06:40:08.832
-179.3793	-30.277	343.49	5.5	2021-02-08T08:06:19.599
145.9206	-5.3816	71.47	5	2021-02-08T12:34:21.000
145.0164	42.3125	27.95	5	2021-02-08T14:23:59.729
122.3892	24.3904	64.05	5.1	2021-02-08T16:56:31.210
122.0654	24.4058	29.76	5.2	2021-02-08T16:58:03.799
-172.6564	-18.9809	10	5.1	2021-02-08T20:08:09.020
-71.9155	-16.4072	100.09	5	2021-02-08T21:10:59.786
120.7767	11.9604	10	5	2021-02-08T23:24:39.901
-77.3268	-5.4381	20.72	5.1	2021-02-09T01:40:57.296
151.7604	-5.204	53	5.6	2021-02-09T02:55:47.887
131.0214	30.052	35	5	2021-02-09T03:39:28.723
140.7048	31.3061	64.51	5.3	2021-02-09T07:07:57.309
129.8834	-6.4061	159.52	5.2	2021-02-09T07:24:46.798
119.7353	-50.1129	10	5	2021-02-09T22:29:48.990
88.4303	-42.2579	10	5	2021-02-09T22:35:02.780
-111.5531	-13.5912	10	5.6	2021-02-10T08:22:32.161
-88.7296	13.0099	86.91	5	2021-02-10T08:47:37.326
127.3815	4.9054	108.62	5.1	2021-02-10T10:03:12.927
101.6854	-5.6093	10	5.2	2021-02-10T10:15:34.561
101.6825	-5.6388	10	5	2021-02-10T10:21:32.621
171.6556	-22.8327	11	6.1	2021-02-10T12:24:21.500
171.4754	-22.5322	11	5.6	2021-02-10T12:32:11.729
101.6495	-5.6856	10	6.3	2021-02-10T12:52:27.223
171.6432	-22.7415	10	6.1	2021-02-10T13:01:59.144
171.6566	-23.0511	10	7.7	2021-02-10T13:19:55.529
171.2865	-23.0581	10	5.4	2021-02-10T13:24:48.766
171.5954	-22.9449	10	5.3	2021-02-10T13:26:46.296
171.3482	-22.7819	10	5.3	2021-02-10T13:32:29.963
172.0189	-22.5881	10	5.2	2021-02-10T13:34:36.151
171.9413	-22.6077	10	5.1	2021-02-10T13:38:35.694
172.082	-22.6279	10	5.1	2021-02-10T13:43:16.552
171.6162	-22.6803	10	5	2021-02-10T13:57:18.171
171.061	-22.3745	10	5	2021-02-10T13:58:03.742
171.79	-22.7126	10	5.6	2021-02-10T14:18:19.983
172.0162	-22.8602	10	5	2021-02-10T14:30:24.834
171.5284	-22.6913	10	5.3	2021-02-10T14:37:21.421
171.0671	-23.0509	10	5.1	2021-02-10T14:49:54.808
172.1062	-22.6838	10	5	2021-02-10T14:59:36.614
171.173	-22.8106	11.69	6.1	2021-02-10T16:35:22.999
170.9879	-22.8315	10	5.2	2021-02-10T16:47:08.025
171.5877	-22.8085	10	5.2	2021-02-10T16:53:54.061
171.261	-22.7387	10	5	2021-02-10T17:00:50.026
171.5255	-23.3057	10	5.2	2021-02-10T17:24:35.453
171.6651	-22.7596	10	5.6	2021-02-10T17:25:50.204
171.213	-22.7173	14	6.1	2021-02-10T18:36:41.957
171.6705	-23.5767	10	5.1	2021-02-10T19:00:14.509
171.8925	-23.2076	10	5.1	2021-02-10T19:13:58.657
171.2942	-22.7042	10	5.2	2021-02-10T19:56:15.440
-71.2806	-31.753	51.11	5.1	2021-02-10T20:18:29.637
171.8254	-23.2481	10	5.1	2021-02-10T20:41:39.884
171.0984	-22.6362	10	5.8	2021-02-10T20:45:14.002
171.3566	-23.1613	10	5.2	2021-02-10T21:17:50.732
171.5827	-23.1911	12	6.3	2021-02-10T21:24:00.831
171.1925	-22.6465	10	5.4	2021-02-10T21:26:19.737
171.7524	-23.5358	10	5	2021-02-10T21:29:28.786
171.7148	-23.3536	10	5.3	2021-02-10T21:36:04.243
171.5728	-23.2895	10	5.1	2021-02-10T21:38:25.605
171.5799	-23.2295	10	5.6	2021-02-10T21:40:34.654
171.6089	-23.2523	10	5.2	2021-02-10T21:50:00.138
171.1884	-22.7921	10	5.2	2021-02-10T21:57:12.298
171.5096	-23.1418	10	5.1	2021-02-10T22:00:25.052
171.5806	-23.3068	10	5.2	2021-02-10T22:03:44.259
171.1627	-22.5907	10	5.1	2021-02-10T22:38:02.022
171.6551	-23.1599	10	5.3	2021-02-10T22:54:19.247
171.8917	-23.0844	10	5.3	2021-02-10T23:26:27.250
171.6956	-22.8767	10	5.3	2021-02-10T23:32:46.638
171.6788	-23.208	10	5	2021-02-10T23:43:21.369
171.6887	-23.1826	10	5.8	2021-02-10T23:45:15.885
171.2578	-22.9686	10	5.3	2021-02-10T23:49:09.822
171.7288	-23.2235	9.82	5.9	2021-02-11T00:14:47.112
171.595	-23.2858	10	5.1	2021-02-11T00:24:50.016
171.6702	-23.3955	10	5	2021-02-11T00:42:50.078
171.7003	-23.1831	10	5.4	2021-02-11T01:02:03.917
171.6564	-22.6101	10	5.4	2021-02-11T01:24:39.177
171.6684	-22.5107	10	5	2021-02-11T01:59:30.444
171.7573	-23.1468	10	5.2	2021-02-11T02:24:19.992
171.7321	-23.3606	10	5.2	2021-02-11T02:56:28.582
54.5217	-34.7679	10	5	2021-02-11T03:30:42.976
171.7693	-23.383	10	5.1	2021-02-11T04:06:57.313
171.648	-23.1757	10	5.2	2021-02-11T04:09:44.161
170.9159	-22.7876	17.98	5.8	2021-02-11T04:15:18.190
171.8122	-23.3358	10.56	6	2021-02-11T06:52:28.131
171.9749	-23.2688	15.01	5.7	2021-02-11T07:18:41.198
171.8154	-22.8746	10	5.3	2021-02-11T07:23:06.211
171.7259	-23.0764	10	5.5	2021-02-11T07:24:04.272
171.7606	-23.3525	10	5.1	2021-02-11T07:56:04.795
171.2431	-22.8946	10	5.8	2021-02-11T08:22:10.147
171.6772	-23.2935	10	5.7	2021-02-11T08:39:13.017
171.7823	-23.4791	10	5	2021-02-11T09:27:53.533
171.9064	-23.1714	10	5	2021-02-11T09:39:52.642
172.0993	-23.082	10	5.1	2021-02-11T11:19:26.473
171.9165	-23.2557	10	5	2021-02-11T12:16:38.160
171.6272	-22.851	10	5.1	2021-02-11T14:55:10.053
171.645	-22.7531	10	5.1	2021-02-11T16:52:32.907
171.5129	-23.2457	10	5.1	2021-02-11T17:21:09.244
171.7606	-23.4003	10	5.2	2021-02-11T18:04:56.752
171.886	-23.4699	10	5	2021-02-11T19:02:38.036
171.5108	-22.5357	10	5.1	2021-02-11T19:20:39.134
171.2027	-22.6123	10	5.2	2021-02-11T20:05:53.247
171.3455	-22.9519	10	5	2021-02-11T21:29:40.092
171.601	-22.7338	10	5.1	2021-02-11T22:02:35.644
171.638	-22.6625	10	5	2021-02-11T23:38:19.556
171.1133	-22.5774	10	5.2	2021-02-12T03:47:44.368
171.5322	-23.2665	10	5.3	2021-02-12T04:05:59.755
171.2631	-23.2701	10	5.2	2021-02-12T07:49:34.878
171.1128	-23.3618	10	5	2021-02-12T08:33:53.963
171.7446	-22.5868	10	5	2021-02-12T10:04:03.257
171.5408	-23.205	8	5.9	2021-02-12T10:06:01.358
170.386	-21.5291	99.6	5	2021-02-12T10:07:43.058
171.7565	-23.3903	10	5.3	2021-02-12T10:34:12.851
171.6236	-23.2818	10	5.3	2021-02-12T11:05:38.394
171.7867	-23.2307	10	5.3	2021-02-12T14:54:23.026
73.5448	38.1357	98	5.9	2021-02-12T17:01:35.244
171.7679	-23.1706	10	5.2	2021-02-12T20:55:16.178
143.6892	11.8235	10	5.1	2021-02-13T04:02:00.796
103.6081	-6.3295	35	5	2021-02-13T04:18:26.012
103.6709	-6.2602	35	5.2	2021-02-13T04:30:57.157
-80.2554	-4.1517	69.06	5.3	2021-02-13T05:18:32.726
166.5745	-11.5701	55.16	5	2021-02-13T13:06:48.131
-155.0386	57.1463	49.7	5.3	2021-02-13T13:08:55.026
141.7751	37.7265	43.98	7.1	2021-02-13T14:07:49.796
141.7615	37.6932	45.1	5.4	2021-02-13T14:51:41.260
149.3549	-7.2148	35	5.6	2021-02-13T15:33:57.009
142.5717	39.0864	40.34	5.2	2021-02-13T18:25:27.375
-70.5959	-20.4858	26.1	5	2021-02-13T18:49:41.601
171.7879	-23.1095	10	5	2021-02-13T21:48:48.446
141.5323	37.4871	43.66	5.1	2021-02-14T07:31:49.635
171.152	-22.6809	10	5.3	2021-02-14T08:09:24.821
171.213	-22.7368	10	5	2021-02-14T08:44:59.157
120.2829	1.2428	49.29	5.1	2021-02-14T09:44:50.052
171.5641	-23.4223	10	5	2021-02-14T12:16:48.546
145.7551	22.6798	10	5.1	2021-02-14T14:51:56.956
171.7295	-23.2623	10	5.7	2021-02-14T15:01:42.595
171.6711	-23.371	10	5	2021-02-14T15:07:38.130
171.3232	-23.2842	10	5.1	2021-02-14T16:06:28.589
167.8557	-17.6395	58.91	5.3	2021-02-14T19:43:00.716
